@id	name	ele	@lat	@lon
3595169591	Riederberg		49.1416833	12.8551079
3595999220	Rotes Kreuz	903	49.2323334	13.0568058
3625256516	Haiberberg	584	49.1527182	12.5245238
3633010599	Steinbichel	577	48.8619059	13.0130558
3637961577	Hochstätter	1084	49.1374752	13.0890264
3656894794	Höllbachriegel		49.0824462	13.2863311
3673432656	Auf der Schanz	757	49.2534585	13.0491840
3678888819	Burgstein	830	48.9337549	12.9053977
3712727227	Farrenruck	979	49.2410441	12.9155616
3721908793	Siebenrücken	852	48.9391887	13.4031133
3755818454	Hochgefeichtetstein	1260	48.9235854	13.5263267
3799225463	Sulzriegel	1257	48.9241523	13.5260505
3802079605	Steinberg		49.0139967	12.6004989
3806569586	Sattel		49.2074908	13.0865990
3873788210	Oberberg	833	49.0128939	13.1338318
3930587904	Hoher Stein	583	48.7458001	13.4892374
3942355134	Riedstein	745	48.9381768	13.2396828
3986429911	Felsensturz		48.9708881	13.3968287
4122663604	Hochfels	875	49.1138305	13.2012030
4187219670	Schlossberg	565	49.1469943	12.4084945
4187219671	Egidi-Buckel		49.0090297	12.8074193
4248130320	Kopfriegel		49.1099890	13.1599046
4280155736	Kanzel	728	48.8461118	13.0239630
4290014350	Schneiderberg	1015	49.1417710	13.1002423
4290185029	Sphinx	974	49.1452531	13.0902383
4316949760	Bärenriegel	1175	49.1373421	13.0762288
4463038861	Sollerberg	886	49.1429779	13.1150216
4466421577	Höhenberg	608	48.7493244	13.3617601
4704220815	Hoher Stein	820	48.8924503	13.4293207
4820027975	Lauberberg	594	49.1056378	12.4727699
4848276479	Scheuereckriegel		49.0569994	13.3239198
4849561178	Traillingriegel	862	49.1778606	13.0348769
4865834075	Bölmersberg	675	49.0407014	13.0555250
4865859909	Ochsenberg	547	49.0519099	13.0540752
4876804240	Hangenleithner Hügel	808	48.8679743	13.1844604
4973997354	Klausgupf	929	48.7748578	13.7711840
4978104062	Großer Falkenstein	1315	49.0847366	13.2799821
5001231975	Ochsenberg	581	49.0611207	12.9990015
5079433188	Traubenberg	519	49.2114371	12.5584931
5079433189	Längseigenberg	642	49.1361771	12.6250954
5079433190	Fundberg	616	49.1301558	12.6167824
5079433191	Hohenstein	557	49.1504379	12.5737735
5079433192	Koppenberg	553	49.1529269	12.5722040
5082450204	Spangelberg	632	49.0162402	12.5500206
5082450205	Kobelberg	698	49.0106589	12.5179149
5082450206	Kobelberg	703	49.0139059	12.5194630
5082450207	Viechtberg	696	49.0520746	12.5630933
5082450208	Ochsenberg	687	49.0481480	12.5903096
5082450209	Pilgramsberg	619	49.0355836	12.6117460
5082450210	Kirchenberg	624	49.0380994	12.6088865
5082450211	Neundelberg	652	49.0480666	12.6064745
5082450212	Oberer Berg	688	49.0527503	12.5988915
5082450213	Riesberg	602	49.0601119	12.6086160
5082450214	Heizerberg	659	49.0692462	12.5740330
5082450215	Steinriegel	654	49.0924071	12.5723909
5082450216	Steinriegel	416	49.2170625	12.5419501
5082450217	Riedberg	435	49.1846480	12.5998858
5082450218	Kühberg	463	49.1770166	12.6099045
5082450219	Weinberg	432	49.1811291	12.6224771
5082450220	Rauchenberg	599	49.1527669	12.6292270
5082451521	Tratthöhe	557	49.1469527	12.6248731
5082451522	Bauenberg	532	49.1471722	12.6173140
5082465214	Hoher Stein	705	49.2716797	13.0272730
5082465215	Brändriegel	705	49.2666499	13.0259899
5084622916	Köpfelsberg	671	49.1325322	12.6861947
5084622917	Weissenstein	681	49.1312066	12.6834855
5084622918	Einfaltsberg	461	49.1349284	12.6508672
5084622919	Schanzenberg	472	49.1485229	12.6538813
5084657726	Schlossberg	700	49.2378054	12.8775674
5084658314	Riegelholzberg	653	49.2225744	12.8583350
5086538072	Tränkberg	521	49.1456086	12.6675327
5086538073	Kühleite	704	49.0480486	12.6840361
5086538074	Blumerberg	684	49.0479125	12.6952280
5086538075	Eichhänge	655	49.0373536	12.5883221
5086565962	Schlossberg (Runding)	543	49.2178500	12.7624870
5086661602	Keilberg	476	49.0390360	12.1722781
5089226542	Lamberg	602	49.1991128	12.7187722
5089226543	Kleiner Rossberg	646	49.1909334	12.7677694
5089724449	Reisberg	449	49.1480507	12.6028452
5092289928	Bärenkopf	976	48.9147050	13.5001755
5092616675	Hungerberg	615	49.0581381	12.6800738
5092752013	Luchsstein		48.9235567	13.5007109
5114561790	Geißberg	1018	48.9122140	13.6420522
5116036783	Distelberg	471	49.1935003	12.6957617
5116036785	Achatsbuckel	518	49.1927235	12.7121142
5120209941	Tragelberg	470	49.1707088	12.6533791
5120209942	Uhrberg	566	49.1390665	12.6337998
5120209943	Wilde Leite	510	49.1344883	12.6434645
5138366345	Steinkopf	1134	48.9578049	13.3877646
5166282105	Plattenberg	499	49.1605332	12.5726461
5166282106	Gruberberg	502	49.1658310	12.5649160
5166282107	Eckenberg	483	49.1847478	12.5592680
5166826198	Teufelsmauer (bei Radling)	447	49.1885842	12.6272772
5166826199	Teufelsmauer	434	49.1944161	12.6166071
5166826200	Pfahl (bei Ried am Pfahl)	421	49.2005769	12.6034943
5166826201	Mühlberg	402	49.1851704	12.6160267
