name,ele,latitude,longitude
Knogl,1056,48.995904,12.8571683
Einödriegel,1121,48.9281616,13.0277588
Geißkopf,1097,48.9240769,13.0374226
Breitenauriegel,1114,48.906548,13.0300211
Enzian,1287,49.1237073,13.0830635
Heugstatt,1262,49.1292361,13.0682204
Mühlriegel,1079,49.1569817,13.0149053
Rauher Kulm,1050,48.9485091,12.8988447
Dreikögelriegel,858,48.9694705,13.2555143
Hennenkobel,965,49.0450716,13.1815386
Kronberg,983,49.0369388,13.1053062
Harlachberger Spitze,914,49.0494155,13.0806915
Hängender Riegel,1080,49.1464908,13.0573865
Kühberg,870,48.9763298,13.2292152
Jägerhübel,1100,49.2166689,13.1138594
Helmwald,1102,49.226964,13.0891868
Knogelberg,705,49.0607078,12.9799272
Schloßberg,673,49.0614251,12.963937
Kohlbichel,749,48.9518062,13.2528126
Plattenhöhe,690,48.9506596,13.1758079
Ahornriegel,1050,49.2348824,12.9440756
Bogenberg,432,48.9020427,12.6969849
Schwarzeck,1235,49.1465603,13.0645594
Streitberg,594,49.137595,12.9677913
Hochzellberg,1208,49.0776795,13.1332083
Strohmannhanselhöhe,869,49.0459941,13.0935857
Vogelsang,1022,48.9344318,12.9435935
Berliner Kreuz,,49.0190825,13.0335409
Sulzriegel,782,49.0694772,13.2391857
Teufelstisch,901,48.9326754,13.064643
Butzen,775,48.906167,12.9476403
Kühberg,835,48.9215624,12.9990247
Hummelsberg,,48.9224929,12.987695
Hermannschopf,824,48.9197435,13.0630651
Stadelberg,891,48.9336584,13.0888894
Finkenrieder Berg,663,48.9416362,13.0875161
Hocheck,727,48.9371703,12.9870433
Buchberg,687,48.9719171,13.0166549
Rosenberg,871,48.9576042,13.0334777
Bornstein,818,48.9526445,13.0456657
Hochriedriegel,934,48.9450348,12.9419822
Fuchsberg,684,48.9081538,12.9539771
Klausenstein,1048,48.9503368,12.8961756
Knogler Berg,721,48.9316446,12.8546924
Kälberbuckel,1053,48.9756706,12.8878642
Gallner Berg,709,49.0485375,12.6775127
Hanichelriegel,978,49.0386264,12.8126073
Käsplatte,978,49.0381908,12.8071797
Weißer Felsen,,49.1696152,12.7892431
Hirschpertberg,,49.1345922,12.8143488
Hochberg,1025,49.0004257,12.8556089
Hohes Buchet,569,48.9132501,12.8986333
Sternknöckel,818,49.067519,13.0574965
Wolfgangriegel,876,49.0700545,13.039963
Kapellenberg,880.5,49.0033459,12.8159007
